"OrigStationName","LocationID","SurveyDate","Datetime","TEMP_WATER","DO","DO_SAT","COD","BOD5","PH","ALK","TSS","TS","TKN","NH3","NO3","TP","TCOLI","FCOLI","CHLORIDE","HARDNESS","SULFATE DATA","ARSENIC DATA","BARIUM DATA","CADMIUM","CHROMIUM","COPPER","IRON","LEAD","MANGANESE","MERCURY DATA","NICKEL","SELENIUM DATA","SILVER DATA","SODIUM DATA","VANADIUM DATA","ZINC"
"MY12","MIB001","1979-06-27","1979-06-27 08:24:00","61","8.5","87","3.3","","7.6","52","9","268","1.5","0.22","1.1","0.06","4,500","780","98","","","","","","","","","","","","","","","","",""
"MY12","MIB001","1979-08-06","1979-08-06 15:15:00","78","10.4","129","","2.4","8.1","55","2.5","296","1.1","0.19","0.9","0.1","930","560","95","","","","","","","","","","","","","","","","",""
"MY12","MIB001","1979-12-12","1979-12-12 14:24:00","51","7.3","66","48","1.8","7.7","45","3","220","1.1","0.41","1.8","0.02","10,000","1,800","","","","","","","","","","","","","","","","","",""
"MY12","MIB001","1980-05-13","1980-05-13 14:30:00","63","8.8","91","51","6","6.9","13","24","142","1.6","0.13","1.3","0.18","85,000","9,000","20","","11","0.002","0.02","<.01","<.01","0.04","1.4","0.12","0.15","0.0003","<.001","<.001","<.01","17","<.01","0.11"
"MY12","MIB001","1980-10-28","1980-10-28 09:45:00","47","7.2","61","44","2.4","7","41","3.5","208","1.8","0.3","0.7","0.1","14,000","3,200","","","","<.001","0.029","","<.01","<.01","1.5","<.01","","< 0.0001","<.001","<.001","<.001","","<.01","0.02"
"MY12","MIB001","1981-02-26","1981-02-26 09:50:00","36","12.7","92","45","3.6","7","21","21","260","1.1","0.23","1.2","0.14","3,000","2,100","101","","19","<.001","0.02","<.01","<.01","0.01","1.2","0.05","","","","","","76","","0.06"
"MY12","MIB001","1981-07-29","1981-07-29 10:25:00","68","6.7","73","44","7.5","6.5","41","15","176","0.93","0.15","0.9","0.15","48,000","5,000","49","55","","","0.03","<.01","","0.02","1.7","<.01","","","","","","38","","0.04"
"MY13","MWRA070","1979-06-27","1979-06-27 08:08:00","69","3.9","44","9.3","","7.6","81","21","316","3.2","1.5","0.5","0.34","35,000","4,000","92","","","","","","","","","","","","","","","","",""
"MY13","MWRA070","1979-08-06","1979-08-06 15:30:00","82","9.6","124","","6.6","7.4","48","24","274","1.9","0.26","0.6","0.3","1,200","540","74","","","","","","","","","","","","","","","","",""
"MY13","MWRA070","1979-12-12","1979-12-12 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY13","MWRA070","1980-05-13","1980-05-13 14:45:00","63","5.3","55","68","17","7.2","34","30","268","1.7","0.28","1","0.28","1,200,000","23,000","49","","20","0.008","0.05","<.01","<.01","0.03","1.4","0.1","0.12","0.0002","<.001","<.001","<.01","28","0.01","0.1"
"MY13","MWRA070","1980-10-28","1980-10-28 09:35:00","","4.5","","54","5.4","6.9","54","11","226","2.6","0.61","0.4","0.3","400,000","120,000","","","","0.003","0.033","","<.01","<.01","0.7","0.02","","< 0.0001","<.001","<.001","<.001","","<.01","0.02"
"MY13","MWRA070","1981-02-26","1981-02-26 09:40:00","38","11.1","83","32","8.7","6.8","34","60","324","1.8","0.4","1","0.34","150,000","53,000","104","","18","0.002","0.06","<.01","0.01","0.02","2.3","0.25","","","","","","65","","0.14"
"MY13","MWRA070","1981-07-29","1981-07-29 09:53:00","74","5.8","67","25","9.3","7","46","15","276","1.4","0.23","0.8","0.16","26,000","2,400","68","73","","","0.03","<.01","","0.01","0.64","0.02","","","","","","45","","0.03"
"MY14","MWRA172","1979-06-27","1979-06-27 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY14","MWRA172","1979-08-06","1979-08-06 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY14","MWRA172","1979-12-12","1979-12-12 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY14","MWRA172","1980-05-13","1980-05-13 14:55:00","63","5.9","61","77","17","7.6","59","88","328","3.9","3.5","0.8","0.8","5,000,000","480,000","48","","25","","","<.01","<.01","0.04","3.8","","0.5","0.0002","<.001","<.001","<.01","30","","0.15"
"MY14","MWRA172","1980-10-28","1980-10-28 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY14","MWRA172","1981-02-26","1981-02-26 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY14","MWRA172","1981-07-29","1981-07-29 10:00:00","70","3.6","40","44","8.7","7.8","49","18.5","274","1.3","0.34","0.1","0.18","10,000","9,000","71","98","","","0.06","<.01","","<.01","1.2","0.03","","","","","","47","","0.02"
"MY15","MWRA061","1979-06-27","1979-06-27 08:48:00","71","9","103","8.1","","7.7","50","15","274","3","0.89","1","0.2","1,400","900","83","","","","","","","","","","","","","","","","",""
"MY15","MWRA061","1979-08-06","1979-08-06 15:35:00","84","13.2","174","","4.8","7.5","46","7.5","418","1.8","0.17","0.2","0.15","850","400","148","","","","","","","","","","","","","","","","",""
"MY15","MWRA061","1979-12-12","1979-12-12 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY15","MWRA061","1980-05-13","1980-05-13 00:01:00","","","","","","","","","","","","","","","","","","","0.009","0.09","","","","","0.18","","","","","","","0.03",""
"MY15","MWRA061","1980-10-28","1980-10-28 09:30:00","48","6.7","57","49","2.1","7.2","55","6.5","318","2.3","0.74","0.5","0.15","18,000","3,800","","","","0.002","0.03","","<.01","<.01","0.29","<.01","","< 0.0001","<.001","<.001","<.001","","<.01","<.01"
"MY15","MWRA061","1981-02-26","1981-02-26 09:25:00","42","11.2","89","68","3.9","7","39","26","290","1.4","0.81","1.1","0.18","46,000","12,300","101","","28","<.001","0.04","<.01","0.24","0.02","0.71","0.05","","","","","","67","","0.05"
"MY15","MWRA061","1981-07-29","1981-07-29 09:40:00","75","6.9","81","39","11","6.7","43","12","280","1.6","0.14","0.8","0.16","13,000","960","74","78","","","0.03","<.01","","<.01","0.52","<.01","","","","","","53","","0.01"
"MY16A","MYR39","1979-06-27","1979-06-27 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY16A","MYR39","1979-08-06","1979-08-06 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY16A","MYR39","1979-12-12","1979-12-12 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY16A","MYR39","1980-05-13","1980-05-13 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY16A","MYR39","1980-10-28","1980-10-28 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY16A","MYR39","1981-02-26","1981-02-26 09:30:00","43","9.4","76","91","58","7","54","42","328","7.1","6.5","3.5","0.46","400,000","90,000","94","","37","<.001","0.04","<.01","0.12","0.05","0.82","0.03","","","","","","57","","0.1"
"MY16A","MYR39","1981-07-29","1981-07-29 00:01:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MY17A","MAR036","1979-06-27","1979-06-27 09:07:00","69","8.1","91","4.5","","7.5","49","14","828","2.9","0.34","0.4","0.1","500","50","360","","","","","","","","","","","","","","","","",""
